,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
143,Canara Robeco Ultra Short Term Fund,500,500,0.4,565.0,10,Suman Prasad,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3
144,DSP Arbitrage Fund,500,500,0.35,1238.0,5,Kedar Karnik,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4
145,DSP Banking & Psu Debt Fund,500,500,0.33,2463.0,10,Vikram Chopra,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9
146,DSP Bond Fund,500,500,0.39,333.0,10,Vivek Ramakrishnan,3,DSP Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9
147,DSP Corporate Bond Fund,500,500,0.25,2065.0,5,Vivek Ramakrishnan,3,DSP Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,0.0
148,DSP Credit Risk Fund,500,500,0.38,210.0,10,Laukik Bagwe,4,DSP Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5
149,DSP Dynamic Asset Allocation Fund,500,500,0.71,3770.0,9,Atul Bhole,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3
150,DSP Equity & Bond Fund,500,500,0.78,7358.0,10,Atul Bhole,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7
151,DSP Equity Opportunities Fund,500,500,0.91,7110.0,10,Rohit Singhania,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7
152,DSP Equity Savings Fund,500,500,0.4,535.0,7,Kedar Karnik,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8
153,DSP Flexi Cap Fund,500,500,0.76,7725.0,10,Atul Bhole,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12.0
154,DSP Floater Fund,500,500,0.24,983.0,2,Kedar Karnik,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,0.0,0.0
155,DSP Focus Fund,500,500,1.08,1784.0,10,Vinit Sambre,6,DSP Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9
156,DSP Global Allocation Fund,500,500,1.43,70.0,9,Jay Kothari,6,DSP Mutual Fund,0,Other,FoFs Overseas,0.6,12.6,7.9
157,DSP G-Sec Fund,500,500,0.54,430.0,10,Vikram Chopra,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6
158,DSP Healthcare Fund,500,500,1.04,1197.0,4,Vinit Sambre,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,0.0
159,DSP India T.I.G.E.R. Fund,500,500,1.34,1797.0,10,Rohit Singhania,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9
160,DSP Liquidity Fund,500,500,0.15,13582.0,10,Kedar Karnik,3,DSP Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
161,DSP Low Duration Fund,500,500,0.3,3340.0,8,Karan Mundhara,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3
162,DSP Midcap Fund,500,500,0.77,13213.0,10,Vinit Sambre,6,DSP Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5
163,DSP Natural Resources & New Energy – Direct Growth,500,500,1.21,673.0,10,Rohit Singhania,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12.0
164,DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498.0,5,Anil Ghelani,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7
165,DSP Nifty 50 Index Fund,500,500,0.24,271.0,4,Anil Ghelani,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,0.0
166,DSP Nifty Next 50 Index Fund,500,500,0.32,227.0,4,Anil Ghelani,6,DSP Mutual Fund,2,Other,Index Funds,-6.3,21.8,0.0
167,DSP Overnight Fund,500,500,0.06,2754.0,4,Kedar Karnik,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,0.0
168,DSP Regular Savings Fund,500,500,0.51,199.0,10,Vikram Chopra,3,DSP Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3.0,10.8,6.0
169,DSP Savings Fund,500,500,0.25,3903.0,10,Kedar Karnik,3,DSP Mutual Fund,2,Debt,Money Market Funds,5.0,5.3,5.9
170,DSP Short Term Fund,500,500,0.3,2821.0,10,Laukik Bagwe,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7
171,DSP Small Cap Fund,500,500,0.9,8953.0,10,Vinit Sambre,6,DSP Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5
172,DSP Strategic Bond Fund,500,500,0.47,481.0,10,Vikram Chopra,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3.0,5.4,7.3
173,DSP Tax Saver Fund,500,500,0.81,10129.0,10,Rohit Singhania,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3
174,DSP Top 100 Equity Fund,500,500,1.27,2605.0,10,Abhishek Singh,6,DSP Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9
175,DSP Ultra Short Fund,500,500,0.3,2736.0,10,Kedar Karnik,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5
176,DSP US Flexible Equity Fund,500,500,1.52,770.0,10,Jay Kothari,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6
177,DSP World Gold Fund,500,500,1.81,777.0,10,Jay Kothari,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9.0,14.8,10.2
178,DSP World Mining Fund,500,500,1.5,188.0,10,Jay Kothari,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15.0
179,Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0
180,Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7
181,Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0
182,Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355.0,10,Dhawal Dalal,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9
183,Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0
184,Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83.0,9,Bhavesh Jain,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6
185,Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1
186,Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2
187,Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897.0,10,Bhavesh Jain,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9.0,6.1
188,Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2
189,Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8
190,Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
191,Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2
192,Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0
193,Edelweiss Money Market Fund,500,5000,0.26,346.0,10,Dhawal Dalal,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3
194,Edelweiss Overnight Fund,500,5000,0.1,480.0,4,Rahul Dedhia,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,0.0
195,Edelweiss Recently Listed IPO Fund,500,5000,0.61,859.0,5,Bhavesh Jain,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9
196,Edelweiss Small Cap Fund,500,5000,0.6,1458.0,4,Sahil Shah,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,0.0
197,Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90.0,10,Bhavesh Jain,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2.0,23.8,11.5
198,Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3
199,Franklin India Banking & PSU Debt Fund,500,5000,0.16,712.0,9,Umesh Sharma,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2
200,Franklin India Bluechip Fund,500,5000,1.01,6205.0,10,Anand Radhakrishnan,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7
201,Franklin India Corporate Debt Fund,500,10000,0.21,748.0,10,Santosh Kamath,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0
202,Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0
203,Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2
204,Franklin India Equity Advantage Fund,500,5000,1.37,2556.0,10,R Janakiraman,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2
205,Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0
206,Franklin India Equity Savings Fund,500,5000,0.71,153.0,5,Rajasa Kakulavarapu,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,0.0
207,Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880.0,10,Sandeep Manam,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6
208,Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0
209,Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2
210,Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9
211,Franklin India G-Sec Fund,500,10000,0.57,121.0,10,Sachin Padwal Desai,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3
212,Franklin India Liquid Fund,500,10000,0.13,1511.0,10,Pallab Roy,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4
213,Franklin India Multi-Asset Solution Fund,500,5000,0.44,45.0,8,Rajasa Kakulavarapu,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3
214,Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6
215,Franklin India Opportunities Fund,500,5000,1.79,657.0,10,R Janakiraman,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31.0,11.5
216,Franklin India Overnight Fund,500,5000,0.1,152.0,4,Pallab Roy,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,0.0
217,Franklin India Prima Fund,500,5000,1.06,7359.0,10,R Janakiraman,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0
218,Franklin India Savings Fund,500,10000,0.1,1084.0,10,Umesh Sharma,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1
219,Franklin India Smaller Companies Fund,500,5000,1.03,7308.0,10,R Janakiraman,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2
220,Franklin India Taxshield – Direct Growth,500,500,1.12,4584.0,10,R Janakiraman,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4
221,Franklin India Technology Fund,500,5000,1.22,712.0,10,Anand Radhakrishnan,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9
222,HDFC Arbitrage Fund,100,100,0.43,5886.0,9,Arun Agarwal,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2
223,HDFC Balanced Advantage Fund,100,100,0.88,51042.0,10,Gopal Agrawal,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9
224,HDFC Banking and PSU Debt Fund,100,100,0.39,4805.0,9,Anil Bamboli,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2
225,HDFC Capital Builder Value Fund,100,100,1.04,5227.0,10,Gopal Agrawal,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3
226,HDFC Children’s Gift Fund,100,100,0.96,6157.0,10,Chirag Setalvad,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9
227,HDFC Corporate Bond Fund,100,100,0.32,23486.0,10,Anupam Joshi,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3
228,HDFC Credit Risk Debt Fund,100,100,0.95,8437.0,9,Shobhit Mehrotra,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8.0,7.7
229,HDFC Dynamic Debt Fund,100,100,0.49,527.0,10,Anil Bamboli,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1
230,HDFC Dynamic PE Ratio Fund,100,100,0.22,30.0,10,Srinivasan Ramamurthy,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1
231,HDFC Equity Savings Fund,100,100,1.1,2524.0,10,Anil Bamboli,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8
232,HDFC Flexi Cap Fund,100,100,1.0,31672.0,10,Roshi Jain,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14.0
233,HDFC Floating Rate Debt Fund,100,100,0.26,14785.0,10,Shobhit Mehrotra,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9
234,HDFC Focused 30 Fund,100,100,0.54,3609.0,10,Roshi Jain,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9
235,HDFC Gilt Fund,100,100,0.46,1739.0,10,Anil Bamboli,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4
236,HDFC Gold Fund,100,100,0.18,1402.0,10,Nirman Morakhia,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4
237,HDFC Housing Opportunities Fund,100,100,1.28,1081.0,5,Rakesh Vyas,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9
238,HDFC Hybrid Debt Fund,100,100,1.33,2695.0,10,Shobhit Mehrotra,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4
239,HDFC Hybrid Equity Fund,100,100,1.09,18729.0,10,Chirag Setalvad,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3
240,HDFC Income Fund,100,100,0.51,528.0,10,Shobhit Mehrotra,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1
241,HDFC Index Fund,100,100,0.2,4210.0,10,Nirman Morakhia,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8
242,HDFC Index Fund,100,100,0.2,7457.0,10,Nirman Morakhia,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0
243,HDFC Infrastructure Fund,100,100,1.75,593.0,10,Rakesh Vyas,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3
244,HDFC Large and Mid Cap Fund,100,100,1.03,7897.0,10,Gopal Agrawal,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8
245,HDFC Liquid Fund,300,5000,0.2,49008.0,10,Anupam Joshi,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
246,HDFC Low Duration Fund,100,100,0.43,14779.0,10,Anupam Joshi,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7
247,HDFC Medium Term Debt Fund,100,100,0.58,3538.0,10,Shobhit Mehrotra,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4
248,HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009.0,10,Chirag Setalvad,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1
249,HDFC Money Market Fund,100,100,0.21,15176.0,10,Vikas Agrawal,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3
250,HDFC Multi-Asset Fund,100,100,0.88,1643.0,10,Srinivasan Ramamurthy,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9
251,HDFC Overnight Fund,300,100,0.1,20146.0,10,Anil Bamboli,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6
252,HDFC Retirement Savings Fund,100,100,0.78,2696.0,7,Srinivasan Ramamurthy,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8
253,HDFC Retirement Savings Fund,100,100,1.03,932.0,7,Srinivasan Ramamurthy,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3
254,HDFC Retirement Savings Fund,100,100,1.0,140.0,7,Shobhit Mehrotra,4,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,6.0,10.3,7.8
255,HDFC Short Term Debt Fund,100,100,0.29,11028.0,10,Anil Bamboli,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7.0,7.3
256,HDFC Small Cap Fund,100,100,0.8,14648.0,10,Chirag Setalvad,6,HDFC Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5
257,HDFC Tax Saver Fund,500,500,1.15,9723.0,10,Roshi Jain,6,HDFC Mutual Fund,2,Equity,ELSS Mutual Funds,10.0,31.0,10.3
258,HDFC Top 100 Fund,100,100,1.11,22139.0,10,Rahul Baijal,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9
259,HDFC Ultra Short Term Fund,100,100,0.34,13303.0,5,Anil Bamboli,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,0.0
260,HSBC Aggressive Hybrid Fund,500,5000,0.87,4636.0,10,Shriram Ramanathan,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1
261,HSBC Arbitrage Fund,500,5000,0.29,2344.0,9,Ritesh Jain,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
262,HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7
263,HSBC Balanced Advantage Fund,500,5000,0.78,1511.0,10,Ritesh Jain,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8.0
264,HSBC Banking and PSU Debt Fund,500,5000,0.23,3779.0,10,Jalpan Shah,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6.0,6.5
265,HSBC Business Cycles Fund,500,5000,1.42,535.0,9,Venugopal Manghat,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.0,28.0,8.7
266,HSBC Conservative Hybrid Fund,500,5000,1.34,122.0,10,Ritesh Jain,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5
267,HSBC Corporate Bond Fund,500,5000,0.35,157.0,2,Ritesh Jain,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3
268,HSBC Corporate Bond Fund,500,5000,0.29,6772.0,10,Shriram Ramanathan,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6
269,HSBC Credit Risk Fund,500,5000,0.85,130.0,10,Shriram Ramanathan,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1
270,HSBC Dynamic Bond Fund,500,5000,0.29,200.0,10,Shriram Ramanathan,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8
271,HSBC ELSS Fund,500,500,1.16,3007.0,10,Cheenu Gupta,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8.0
272,HSBC Equity Hybrid Fund,500,5000,1.0,474.0,4,Neelotpal Sahai,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
273,HSBC Equity Savings Fund,500,5000,0.62,150.0,10,Ritesh Jain,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5
274,HSBC Flexi Cap Fund,500,5000,1.23,3097.0,10,Vihang Naik,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2
275,HSBC Flexi Debt Fund,500,5000,0.94,54.0,10,Ritesh Jain,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3
276,HSBC Gilt Fund,500,5000,0.48,231.0,10,Jalpan Shah,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.4,7.1
277,HSBC Infrastructure Fund,500,5000,1.14,1476.0,10,Venugopal Manghat,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3
278,HSBC Large & Mid Cap Fund,500,5000,1.08,1992.0,4,Neelotpal Sahai,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,0.0
279,HSBC Large Cap Fund,500,5000,1.26,1405.0,10,Neelotpal Sahai,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0.0,23.3,10.6
280,HSBC Liquid Fund,500,5000,0.12,12043.0,10,Kapil Punjabi,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3
281,HSBC Low Duration Fund,500,5000,0.25,467.0,10,Shriram Ramanathan,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8
282,HSBC Managed Solutions Conservative Fund,500,5000,0.54,34.0,9,Gautam Bhupal,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9
283,HSBC Managed Solutions Growth Fund,500,5000,1.06,34.0,9,Gautam Bhupal,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2
284,HSBC Managed Solutions Moderate Fund,500,5000,0.76,58.0,9,Gautam Bhupal,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19.0,8.7
285,HSBC Medium Duration Fund,500,5000,0.4,643.0,8,Shriram Ramanathan,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7.0,6.7
286,HSBC Medium to Long Duration Fund,500,5000,0.68,41.0,10,Jalpan Shah,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5
287,HSBC Midcap Fund,500,5000,0.74,6980.0,10,Vihang Naik,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8
288,HSBC Money Market Fund,500,5000,0.25,716.0,10,Shriram Ramanathan,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6.0
289,HSBC Overnight Fund,500,5000,0.1,2759.0,4,Kapil Punjabi,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,0.0
290,HSBC Short Duration Fund,500,5000,0.27,3592.0,10,Shriram Ramanathan,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6.0,6.7
291,HSBC Small Cap Fund,500,5000,0.77,8625.0,9,Venugopal Manghat,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7
292,HSBC Tax Saver Equity Fund,500,5000,1.3,175.0,10,Gautam Bhupal,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9
293,HSBC Ultra Short Duration Fund,500,5000,0.22,2279.0,3,Mahesh A Chhabria,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,0.0
294,HSBC Value Fund,500,5000,0.84,7781.0,10,Venugopal Manghat,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33.0,11.6
295,ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754.0,10,Manish Banthia,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2
296,ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393.0,10,Dharmesh Kakkad,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8
297,ICICI Pru Balanced Advantage Fund,100,500,0.91,44515.0,10,Sankaran Naren,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4
298,ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871.0,10,Roshan Chutkey,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7.0,24.9,9.7
299,ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265.0,10,Rahul Goswami,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2
